Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Muslim percentage of total population,Buddhist (%),Jewish (%),"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsibility,Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Incarceration rate per 100000,"Gender disparity, elderly (65+), rate",Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories),Average yearly temperature (Celsius)
Anguilla,19216.0,,,4.0,,,,,,90.5,0.6,,—,,,,5.0,,,,,,,12043.0,35.7,,,1.77,,,240,88,,,,,,867.0,,,
Antigua and Barbuda,15246.0,,7.0,16.0,,0.788,,,,74.0,0.3,,,6.4,8,6317.0,34.0,,850.0,,1.58,89.2,18.9,77529.0,32.7,,,1.13,76.5,72.05,237,,25.0,2.5,,,123.74,232.0,,2445.0,25.85
Panama,14618.0,125.25,7.9,550.0,,0.805,7.18,,88.0,92.0,0.7,0.2,0.062,14.3,12,3819.0,157.0,49.8,1228.0,2.9,2.33,219.3,22.7,2371852.0,30.1,67.2,,1.51,79.3,65.02,499,80.9,21.6,4.1,,,70.29,182.0,940.0,2851.0,25.4
Romania,14698.0,178.9,12.6,244.0,1.7,0.821,6.4,,84.0,98.0,0.3–1.0,0.1,0.055,6.9,16,8654.0,45.4,34.8,687.0,7.3,1.8,1204.3,22.5,12545558.0,42.5,68.6,61281.0,-1.01,75.6,63.92,122,96.8,28.3,3.1,7.0,,238.33,810.0,14984.0,3581.0,8.8
Saint Kitts and Nevis,18083.0,,9.4,14.0,,0.777,,,,,0.3,,,15.0,,6933.0,20.0,,1103.0,,1.53,,22.9,44669.0,36.5,,,0.59,,82.51,296,,31.3,2.6,,,87.36,2241.0,,2582.0,24.5
Curaçao,14183.0,,,26.0,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,261,,,,,,,,,,
Maldives,10366.0,,2.7,3.0,,0.747,,,,0.08,98.4,0.6,,7.6,15,,23.0,29.3,805.0,2.8,1.69,560.9,8.6,275717.0,29.5,53.2,,-0.17,79.6,20.61,314,92.8,21.6,4.1,,,111.47,238.0,,2235.0,28
Northern Mariana Islands,,,,,,,,,,,0.7,10.6,,,,,,,,,,,,,32.8,,,-0.35,,,273,,,,,,,232.0,,,
Chile,16265.0,246.39,9.3,708.0,1.8,0.855,8.28,36.0,70.0,68.0, 0.1,0.1,0.099,6.8,14,6483.0,65.09,46.0,1457.0,8.0,1.54,769.3,28.0,14864456.0,35.5,75.4,2000.0,0.63,80.7,83.17,264,89.9,32.6,5.4,7.4,,116.11,871.0,7058.0,3029.0,8.45
Costa Rica,12472.0,47.93,4.8,588.0,,0.809,8.16,28.0,79.0,82.0, 0.1,0.1,0.015,7.9,12,6785.0,43.0,49.3,902.0,7.6,1.53,411.4,25.7,3511549.0,32.6,65.3,,0.98,80.8,53.56,301,90.4,25.7,7.4,6.6,,183.28,279.0,2158.0,3029.0,24.8
