,Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Buddhist (%),"2020 mortality rate, under-5 (per 1000 live births)",Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories)
60,Fiji,4647.0,,3.0,20.0,,0.73,5.72,,,64.4,0.1,27.4,3232.0,18.0,30.7,216.0,9.5,2.48,491.1,30.2,452479.0,29.9,62.2,,0.42,68.0,43.85,24.1,3.9,,,40.2,522.0,401.0,2781.0
61,Finland,53703.0,119.32,10.7,91.0,,0.94,9.2,41.0,,67.1,0.1,2.3,,71.3,25.7,4522.0,13.4,1.46,1098.8,22.2,5410000.0,42.8,74.9,,0.22,81.6,76.7,32.1,6.9,7.9,,430.76,3948.0,10208.0,3343.0
62,France,44229.0,192.25,12.6,734.0,1.9,0.903,7.99,45.0,30.0,51.1,0.5,4.4,24259.0,112.06,29.3,4669.0,9.7,1.83,1089.9,21.6,59470000.0,41.7,63.8,11969.0,0.31,82.5,83.05,32.0,5.4,45.0,,241.31,1664.0,106799.0,3502.0
63,Gabon,7911.0,,11.5,,,0.706,3.54,,,88.0,,41.7,3246.0,35.0,38.0,211.0,13.1,3.49,451.2,15.0,1040000.0,21.0,56.3,195808.0,2.39,66.5,59.21,20.4,2.7,,,30.16,85.0,,2633.0
64,Gambia,772.0,,3.8,,,0.5,4.49,,,4.2,,49.4,253.0,61.0,35.9,23.0,9.6,4.68,249.1,10.3,416753.0,21.8,52.4,,2.23,65.5,7.82,21.5,2.1,,,45.71,92.0,14.0,2533.0
65,Georgia,4975.0,,9.8,77.0,,0.802,5.31,,81.0,88.1,,9.3,93.0,128.0,34.3,332.0,7.7,2.08,1917.7,21.7,3446533.0,38.6,75.9,276.0,0.01,73.3,31.83,28.1,3.8,760.0,,149.26,511.0,581.0,2835.0
66,Germany,51073.0,120.93,13.4,695.0,1.4,0.942,8.67,30.0,40.0,53.9,0.3,3.7,29520.0,65.33,29.7,5504.0,8.3,1.58,1599.5,22.3,77794405.0,47.8,73.5,33242.0,-0.12,81.7,87.79,32.1,4.8,31.4,,258.7,2097.0,79916.0,3554.0
67,Ghana,2409.0,51.93,2.7,603.0,,0.632,6.5,,95.0,71.3,0.1,44.7,433.0,30.0,43.5,74.0,10.5,3.56,40.5,10.9,15065541.0,21.4,57.5,179890.0,2.19,66.3,13.73,21.7,3.6,32.9,,9.08,136.0,28.0,3035.0
68,Greece,20571.0,36.73,10.4,89.0,3.7,0.887,7.39,40.0,71.0,93.0,0.1,4.1,11070.0,322.85,33.1,1603.0,3.6,1.39,2078.6,24.9,7923438.0,45.3,57.7,1497.0,-0.35,81.1,71.7,30.1,4.1,37.1,,255.26,1884.0,9583.0,3382.0
69,Grenada,8950.0,54.65,9.3,5.0,,0.795,,,,97.3,,16.4,,66.0,,439.0,0.6,2.0,158.2,21.3,63692.0,33.3,,,0.29,72.9,59.4,31.0,3.2,6.4,,86.88,2212.0,,2402.0
70,Guatemala,4883.0,,2.4,3520.0,,0.627,4.97,,88.0,87.0,0.1,23.6,3924.0,28.0,48.3,266.0,6.2,2.4,111.8,21.2,11750000.0,23.2,62.6,6188.0,1.54,72.0,36.39,21.3,2.8,315.0,,46.6,24.0,1042.0,2551.0
71,Guinea,1185.0,,1.3,,,0.465,3.08,,,8.9,0.1,95.6,,20.0,29.6,35.0,12.3,4.4,316.0,7.7,1449758.0,19.1,55.7,,2.75,61.0,13.05,19.8,2.2,,,20.62,11.0,,2746.0
72,Guinea Bissau,759.0,,4.8,21.0,,0.483,2.63,,,10.0,,76.8,412.0,94.0,34.8,60.0,12.4,4.0,25.3,9.5,73148.0,18.0,54.0,,2.54,60.2,17.29,20.9,2.1,,,19.88,35.0,,2229.0
73,Guyana,9999.0,45.37,6.3,131.0,,0.714,6.01,,,62.7,0.1,28.4,2015.0,36.0,44.6,299.0,40.9,2.4,359.1,20.2,290375.0,27.5,56.8,275545.0,0.28,65.7,45.22,21.5,6.3,,,141.68,91.0,42.0,2913.0
74,Haiti,1664.0,,5.8,1489.0,,0.535,4.22,,,96.0,0.1,60.5,1014.0,24.0,41.1,62.0,11.2,2.81,143.0,22.7,1353986.0,24.1,52.7,,1.18,64.1,17.61,23.7,2.5,34.0,,18.98,11.0,,2121.0
75,Honduras,2772.0,,4.0,3931.0,,0.621,5.36,,,88.0,0.1,16.2,2420.0,38.0,48.2,178.0,2.6,2.36,469.8,21.4,2977793.0,24.4,60.2,,1.16,71.9,33.09,21.2,6.0,1235.0,,91.33,37.0,102.0,2673.0
76,Hong Kong,49259.0,265.17,,23.0,,0.952,5.57,,24.0,18.4,13.2,,10039.0,504.1,53.9,,,0.77,,,6970000.0,45.6,90.2,,0.15,,137.08,30.6,3.3,,,105.85,3273.0,14603.0,3267.0
77,Hungary,18728.0,193.8,11.4,75.0,,0.846,6.56,32.0,39.0,52.87,0.1,4.0,9184.0,160.0,28.3,1080.0,11.8,1.59,2060.3,26.4,7461297.0,43.6,65.0,17873.0,-0.31,76.4,79.73,30.1,4.7,30.7,,159.05,1250.0,9589.0,3316.0
78,Iceland,69133.0,,9.1,2.0,,0.959,9.37,40.0,,72.3,0.4,1.9,,81.0,23.2,6234.0,11.2,1.82,848.1,21.9,329196.0,37.1,77.1,,0.89,82.3,91.02,32.7,7.5,10.3,,225.82,4622.0,1767.0,3654.0
79,India,2274.0,54.17,5.7,41330.0,2.4,0.633,6.61,,90.0,2.3,0.8,32.6,674.0,16.83,35.7,58.0,12.9,2.03,89.3,3.9,881250000.0,28.7,55.2,607890.0,0.7,70.8,3.78,25.3,2.9,12.6,,84.5,138.0,90000.0,2533.0
80,Indonesia,4333.0,,0.8,1419.0,0.7,0.705,6.3,11.0,99.0,10.49,0.8,23.0,2449.0,29.1,37.9,112.0,2.6,2.17,1675.5,6.9,215626156.0,31.1,65.8,610532.0,0.76,71.3,11.7,20.0,3.6,136.0,,14.82,181.0,135081.0,2884.0
81,Iran,6766.0,,1.0,1936.0,2.6,0.774,2.2,,,0.95,0.1,12.9,20881.0,2.0,40.9,463.0,5.1,1.69,936.5,25.8,78086663.0,31.7,51.1,3293401.0,0.93,77.3,35.98,23.8,4.0,1.9,,46.69,863.0,102691.0,3087.0
82,Iraq,4686.0,,0.4,3339.0,,0.686,3.62,,84.0,1.2,0.1,25.2,2069.0,44.0,29.5,227.0,4.7,3.5,1184.4,30.4,18892351.0,21.2,,4470506.0,1.94,72.4,,25.3,3.5,304.0,,22.18,454.0,,2608.0
83,Ireland,101109.0,112.81,13.0,22.0,,0.945,9.05,52.0,54.0,83.8,0.2,3.0,28302.0,548.53,26.9,5484.0,8.9,1.72,976.5,25.3,4024552.0,37.8,80.5,,0.91,81.8,76.85,34.8,3.7,16.0,,291.86,3309.0,1773.0,3885.0
84,Israel,54111.0,147.36,3.8,173.0,4.5,0.919,7.84,46.0,51.0,3.5,0.3,3.6,19690.0,29.28,38.6,3220.0,5.2,3.0,1280.7,26.1,6788737.0,30.4,72.8,,1.43,82.6,97.02,28.2,5.8,29.0,,193.6,2402.0,8411.0,3528.0
85,Italy,35579.0,90.93,7.5,303.0,1.7,0.895,7.74,25.0,72.0,83.0,0.2,2.9,,143.09,35.2,3003.0,4.3,1.25,1493.3,19.9,50540000.0,46.5,62.2,83151.0,-0.11,83.0,80.96,31.5,3.8,8.4,,246.88,2159.0,125948.0,3503.0
86,Jamaica,5184.0,37.95,4.2,1474.0,,0.709,7.13,,,68.9,0.1,13.3,4461.0,122.0,35.0,334.0,2.3,1.35,312.5,24.7,1409888.0,29.4,68.6,,0.09,76.0,58.97,33.2,5.4,,,91.13,175.0,,2792.0
87,Japan,39650.0,167.18,8.0,285.0,1.1,0.925,8.13,60.0,24.0,1.1,36.2,2.5,16924.0,98.44,33.4,4288.0,12.2,1.3,1583.2,4.3,117400000.0,48.6,72.1,3243.0,-0.41,84.3,49.33,30.0,3.6,0.2,,72.06,1016.0,139078.0,2705.0
88,Jordan,4058.0,67.35,0.7,114.0,,0.72,3.62,,,6.0,0.4,15.0,5408.0,83.0,35.4,322.0,2.0,2.83,2306.1,35.5,6480202.0,23.5,66.5,20.0,0.79,77.9,37.91,26.6,3.6,0.0,,77.68,587.0,511.0,2732.0
89,Kazakhstan,10055.0,56.12,7.7,606.0,,0.811,3.14,,43.0,17.2,0.2,10.0,1972.0,65.71,27.8,273.0,18.1,3.32,1800.9,21.0,13913699.0,31.6,65.4,1726514.0,0.73,74.0,64.89,25.0,2.8,0.6,,288.12,279.0,1226.0,3067.0
90,Kenya,2082.0,,3.4,2796.0,,0.575,5.05,,94.0,85.5,0.1,41.9,702.0,26.0,40.8,76.0,11.0,3.33,264.4,7.1,8861485.0,20.0,55.1,,2.09,66.1,15.94,20.2,5.2,73.3,,94.86,86.0,300.0,2197.0
91,Kiribati,1765.0,,0.4,8.0,,0.624,,,,,,49.6,2033.0,8.0,,192.0,30.6,3.3,1396.0,46.0,16971.0,25.7,47.3,,1.02,59.4,29.96,20.1,12.0,,,10.93,141.0,,3078.0
92,Kosovo,5663.0,54.39,,33.0,,,,,90.0,,,,2413.0,37.0,29.0,,,1.52,,,,30.5,67.0,,0.62,,,,,,,,,,
